#timestamp, new_cases_JHU, num_users_submitted_keys, ratio_CWA_JHU
1592784000,496,0,0.000000
1592870400,712,27,0.037921
1592956800,391,11,0.028133
1593043200,500,19,0.038000
1593129600,665,20,0.030075
1593216000,422,15,0.035545
1593302400,235,8,0.034043
1593388800,349,15,0.042980
1593475200,376,26,0.069149
1593561600,475,17,0.035789
1593648000,477,33,0.069182
1593734400,410,16,0.039024
1593820800,418,11,0.026316
1593907200,325,3,0.009231
1593993600,541,10,0.018484
1594080000,279,14,0.050179
1594166400,356,8,0.022472
1594252800,302,15,0.049669
1594339200,331,27,0.081571
1594425600,377,19,0.050398
1594512000,210,4,0.019048
1594598400,261,8,0.030651
1594684800,276,21,0.076087
1594771200,434,22,0.050691
1594857600,560,23,0.041071
1594944000,595,23,0.038655
1595030400,381,20,0.052493
1595116800,309,7,0.022654
1595203200,590,9,0.015254
1595289600,392,15,0.038265
1595376000,559,13,0.023256
1595462400,605,25,0.041322
1595548800,742,22,0.029650
1595635200,655,12,0.018321
1595721600,389,13,0.033419
1595808000,445,10,0.022472
1595894400,595,33,0.055462
1595980800,839,38,0.045292
1596067200,989,42,0.042467
1596153600,864,27,0.031250
1596240000,606,27,0.044554
1596326400,215,25,0.116279
1596412800,891,28,0.031425
1596499200,717,51,0.071130
1596585600,1285,47,0.036576
1596672000,926,56,0.060475
1596758400,1157,40,0.034572
1596844800,707,28,0.039604
1596931200,385,12,0.031169
1597017600,1220,43,0.035246
1597104000,1032,41,0.039729
1597190400,1319,68,0.051554
1597276800,1422,70,0.049226
1597363200,1510,54,0.035762
1597449600,697,53,0.076040
1597536000,519,33,0.063584
1597622400,1693,56,0.033077
1597708800,1420,75,0.052817
1597795200,1586,82,0.051702
1597881600,1586,91,0.057377
1597968000,1737,63,0.036269
1598054400,832,66,0.079327
1598140800,633,51,0.080569
1598227200,1628,66,0.040541
1598313600,1461,81,0.055441
1598400000,1427,88,0.061668
1598486400,1561,103,0.065983
1598572800,1555,99,0.063666
1598659200,709,65,0.091678
1598745600,470,42,0.089362
1598832000,1497,65,0.043420
1598918400,1213,90,0.074196
1599004800,1396,117,0.083811
1599091200,1429,116,0.081176
1599177600,1443,117,0.081081
1599264000,775,80,0.103226
1599350400,670,42,0.062687
1599436800,1898,87,0.045838
1599523200,1331,89,0.066867
1599609600,1476,127,0.086043
1599696000,1716,136,0.079254
1599782400,1586,137,0.086381
1599868800,1082,102,0.094270
1599955200,920,87,0.094565
1600041600,1485,106,0.071380
1600128000,1792,182,0.101562
1600214400,1855,191,0.102965
1600300800,2179,203,0.093162
1600387200,2199,195,0.088677
1600473600,1685,98,0.058160
