#timestamp, num_keys, num_users_submitted_keys, num_submitted_keys, sum_keys, sum_users_submitted_keys, sum_submitted_keys, num_invalid_profile_users, sum_invalid_profile_users
1592784000,0,0,0,0,0,0,0,0
1592870400,477,27,148,477,27,148,0,0
1592956800,720,11,62,1197,38,210,10,10
1593043200,1160,19,116,2357,57,326,0,10
1593129600,1450,20,142,3807,77,468,3,13
1593216000,1280,15,103,5087,92,571,25,38
1593302400,760,8,70,5847,100,641,6,44
1593388800,1270,15,127,7117,115,768,0,44
1593475200,2680,26,268,9797,141,1036,0,44
1593561600,1990,17,189,11787,158,1225,10,54
1593648000,1960,33,327,13747,191,1552,0,54
1593734400,945,16,189,14692,207,1741,0,54
1593820800,535,11,107,15227,218,1848,0,54
1593907200,180,3,36,15407,221,1884,0,54
1593993600,495,10,99,15902,231,1983,0,54
1594080000,715,14,143,16617,245,2126,0,54
1594166400,495,8,99,17112,253,2225,0,54
1594252800,620,15,124,17732,268,2349,0,54
1594339200,1540,27,308,19272,295,2657,0,54
1594425600,1010,19,202,20282,314,2859,0,54
1594512000,200,4,40,20482,318,2899,0,54
1594598400,440,8,88,20922,326,2987,0,54
1594684800,1150,21,230,22072,347,3217,0,54
1594771200,1220,22,243,23292,369,3460,1,55
1594857600,1235,23,247,24527,392,3707,0,55
1594944000,1255,23,251,25782,415,3958,0,55
1595030400,1035,20,207,26817,435,4165,0,55
1595116800,345,7,69,27162,442,4234,0,55
1595203200,560,9,112,27722,451,4346,0,55
1595289600,835,15,167,28557,466,4513,0,55
1595376000,720,13,144,29277,479,4657,0,55
1595462400,1375,25,275,30652,504,4932,0,55
1595548800,1140,22,228,31792,526,5160,0,55
1595635200,740,12,148,32532,538,5308,0,55
1595721600,825,13,165,33357,551,5473,0,55
1595808000,595,10,119,33952,561,5592,0,55
1595894400,1790,33,358,35742,594,5950,0,55
1595980800,2290,38,458,38032,632,6408,0,55
1596067200,2520,42,504,40552,674,6912,0,55
1596153600,1575,27,315,42127,701,7227,0,55
1596240000,1405,27,281,43532,728,7508,0,55
1596326400,1385,25,277,44917,753,7785,0,55
1596412800,1645,28,329,46562,781,8114,0,55
1596499200,2813,51,546,49375,832,8660,6,61
1596585600,2415,47,483,51790,879,9143,0,61
1596672000,3050,56,610,54840,935,9753,0,61
1596758400,2210,40,442,57050,975,10195,0,61
1596844800,1655,28,331,58705,1003,10526,0,61
1596931200,565,12,113,59270,1015,10639,0,61
1597017600,2380,43,476,61650,1058,11115,0,61
1597104000,2285,41,457,63935,1099,11572,0,61
1597190400,3800,68,760,67735,1167,12332,0,61
1597276800,3940,70,788,71675,1237,13120,0,61
1597363200,3020,54,604,74695,1291,13724,0,61
1597449600,2675,53,535,77370,1344,14259,0,61
1597536000,1790,33,358,79160,1377,14617,0,61
1597622400,2785,56,557,81945,1433,15174,0,61
1597708800,3749,75,749,85694,1508,15923,0,61
1597795200,3970,82,794,89664,1590,16717,0,61
1597881600,4740,91,948,94404,1681,17665,0,61
1597968000,3550,63,710,97954,1744,18375,0,61
1598054400,3393,66,639,101347,1810,19014,20,81
1598140800,2535,51,507,103882,1861,19521,0,81
1598227200,3165,66,621,107047,1927,20142,0,81
1598313600,4156,81,813,111203,2008,20955,0,81
1598400000,4410,88,882,115613,2096,21837,0,81
1598486400,5435,103,1075,121048,2199,22912,0,81
1598572800,5310,99,1062,126358,2298,23974,0,81
1598659200,3339,65,656,129697,2363,24630,0,81
1598745600,2245,42,449,131942,2405,25079,0,81
1598832000,3000,65,597,134942,2470,25676,3,84
1598918400,4835,90,967,139777,2560,26643,0,84
1599004800,6095,117,1219,145872,2677,27862,0,84
1599091200,6685,116,1337,152557,2793,29199,0,84
1599177600,6285,117,1257,158842,2910,30456,0,84
1599264000,4460,80,892,163302,2990,31348,0,84
1599350400,2158,42,421,165460,3032,31769,0,84
1599436800,4630,87,926,170090,3119,32695,0,84
1599523200,4932,89,957,175022,3208,33652,3,87
1599609600,6885,127,1377,181907,3335,35029,0,87
1599696000,7395,136,1478,189302,3471,36507,1,88
1599782400,7762,137,1541,197064,3608,38048,0,88
1599868800,5310,102,1062,202374,3710,39110,0,88
1599955200,4977,87,990,207351,3797,40100,0,88
1600041600,5655,106,1131,213006,3903,41231,0,88
1600128000,9548,182,1887,222554,4085,43118,12,100
1600214400,10235,191,2047,232789,4276,45165,0,100
1600300800,11165,203,2221,243954,4479,47386,12,112
1600387200,10369,195,2056,254323,4674,49442,6,118
1600473600,5290,98,1048,259613,4772,50490,10,128
1600560000,3250,61,650,262863,4833,51140,0,128
1600646400,8390,161,1653,271253,4994,52793,25,153
1600732800,9405,173,1848,280658,5167,54641,33,186
1600819200,13539,253,2696,294197,5420,57337,2,188
1600905600,12229,206,2291,306426,5626,59628,147,335
1600992000,12457,220,2336,318883,5846,61964,141,476
1601078400,9593,142,1313,328476,5988,63277,593,1069
1601164800,6071,132,762,334547,6120,64039,441,1510
1601251200,8430,122,969,342977,6242,65008,717,2227
1601337600,12700,201,1390,355677,6443,66398,1150,3377
